PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Chauncey Billups,DET,80,35.8,16.5,5.1,11.4,44.2,2.1,4.8,42.6,4.3,4.8,89.8,0.6,2.8,3.4,5.8,1,0.1,2.3,17.7
Bobby Simmons,LAC,75,37.3,16.4,6.3,13.6,46.6,0.7,1.5,43.5,3.1,3.6,84.6,1.7,4.2,5.9,2.7,1.4,0.2,1.8,17.1
Manu Ginobili,SAS,74,29.6,16,5,10.5,47.1,1.3,3.5,37.6,4.8,6,80.3,1,3.4,4.4,3.9,1.6,0.4,2.3,17.3
Ricky Davis,BOS,82,32.9,16,5.9,12.7,46.2,0.7,2.2,33.9,3.5,4.3,81.5,0.8,2.2,3,3,1.1,0.3,2.5,13.3
Damon Stoudamire,POR,81,34.1,15.8,5.6,14.4,39.2,2.2,6,36.9,2.2,2.5,91.5,0.7,3.1,3.8,5.7,1.1,0,2,15.4
Kirk Hinrich,CHI,77,36.4,15.7,5.8,14.6,39.7,1.9,5.3,35.5,2.2,2.8,79.2,0.4,3.5,3.9,6.4,1.6,0.3,2.3,16.2
Steve Nash,PHX,75,34.3,15.5,5.7,11.4,50.2,1.3,2.9,43.1,2.8,3.2,88.7,0.8,2.6,3.3,11.5,1,0.1,3.3,22.1
Kenyon Martin,DEN,70,32.5,15.5,6.3,13,49,0,0.2,0,2.8,4.4,64.6,2.1,5.2,7.3,2.4,1.4,1.1,2.1,17.5
Caron Butler,LAL,77,35.7,15.5,5.7,12.9,44.5,0.5,1.6,30.4,3.6,4.1,86.2,1.9,3.9,5.8,1.9,1.4,0.3,1.6,15.6
Wally Szczerbiak,MIN,81,31.6,15.5,5.7,11.3,50.6,0.8,2.1,37.3,3.2,3.8,85.5,1,2.7,3.7,2.4,0.5,0.2,1.6,14.5
Troy Murphy,GSW,70,33.9,15.4,5.6,13.5,41.4,0.8,2.1,39.9,3.3,4.6,73,3.6,7.2,10.8,1.4,0.8,0.5,1.5,18.1
Emeka Okafor,CHA,73,35.6,15.1,6.1,13.7,44.7,0,0,0,2.9,4.7,60.9,3.8,7.1,10.9,0.9,0.8,1.7,1.7,18.3
Ben Gordon,CHI,82,24.4,15.1,5.3,12.9,41.1,1.6,4,40.5,2.8,3.3,86.3,0.7,2,2.6,2,0.6,0.1,2.3,10.1
Quentin Richardson,PHX,79,35.9,14.9,5.2,13.2,38.9,2.9,8,35.8,1.7,2.3,73.9,1.2,4.9,6.1,2,1.2,0.3,1.3,14.5
Tayshaun Prince,DET,82,37,14.7,5.7,11.7,48.7,0.6,1.7,34.1,2.7,3.3,80.7,1.6,3.7,5.3,3,0.7,0.9,1.6,16.3
Rasheed Wallace,DET,79,34,14.5,5.9,13.4,44,0.9,3,31.8,1.7,2.5,69.7,2.2,5.9,8.2,1.8,0.8,1.5,1.6,16.8
Drew Gooden,CLE,82,30.8,14.4,5.7,11.5,49.2,0.1,0.3,17.9,3.1,3.8,81,2.5,6.7,9.2,1.6,0.9,0.9,1.6,18.9
Rafer Alston,TOR,80,34,14.2,5,12.2,41.4,1.7,4.9,35.7,2.4,3.2,74,0.5,3,3.5,6.4,1.5,0.1,2.1,15.6
Matt Harpring,UTA,78,33.2,14,5.4,11,48.9,0.1,0.6,20.9,3.1,4,77.8,2.5,3.6,6.2,1.8,0.9,0.2,1.7,14.8
Chucky Atkins,LAL,82,35.4,13.6,4.7,11.1,42.6,2.1,5.5,38.7,2,2.5,80.3,0.4,2,2.4,4.4,0.9,0,1.8,12.6
Andre Miller,DEN,82,34.8,13.6,5.2,10.9,47.7,0.1,0.5,15.4,3.1,3.7,83.8,1.2,2.9,4.1,6.9,1.5,0.1,2.7,17.2
Mike Miller,MEM,76,30,13.4,5.1,10.1,50.5,1.8,4.3,43.3,1.4,2,72,0.5,3.5,3.9,2.9,0.7,0.3,1.7,14.1
Mike Dunleavy,GSW,79,32.5,13.4,5.2,11.5,45.1,1.4,3.5,38.8,1.7,2.2,77.9,1.2,4.3,5.5,2.6,1,0.3,1.7,14.3
Primoz Brezec,CHA,72,31.6,13,5.4,10.5,51.2,0,0,0,2.3,3.1,74.5,3.1,4.2,7.4,1.2,0.5,0.8,1.5,15.4
Mehmet Okur,UTA,82,28.1,12.9,4.3,9.2,46.8,0.2,0.8,27,4,4.7,85,2.4,5.1,7.5,2,0.4,0.8,1.7,16.3
Jeff McInnis,CLE,76,34.9,12.8,5,12,41.2,1.2,3.5,34.5,1.7,2.1,81.3,0.4,1.6,2.1,5.1,0.7,0,1.5,11.8
Latrell Sprewell,MIN,80,30.6,12.8,5,12,41.4,0.9,2.6,32.7,2,2.4,83,0.8,2.4,3.2,2.2,0.7,0.3,1.6,10.1
Eddie Jones,MIA,80,35.5,12.7,4.4,10.3,42.8,1.8,4.8,37.2,2.2,2.7,80.6,0.5,4.6,5.1,2.7,1.1,0.5,1.2,14.4
Josh Howard,DAL,76,32.2,12.6,5,10.4,47.5,0.4,1.5,29.6,2.2,3.1,73.3,2.2,4.1,6.4,1.4,1.5,0.6,1.6,14.7
Morris Peterson,TOR,82,30.6,12.5,4.3,10.3,42,1.6,4.1,38.5,2.3,2.8,83.2,0.9,3.3,4.1,2.1,1.1,0.2,1.1,12.5
Dan Dickau,NOH,71,29.4,12.5,4.3,10.6,40.5,1.2,3.5,34.7,2.7,3.2,83.3,0.5,2.1,2.5,4.9,1.1,0.1,2,12.1
Kenny Thomas,SAC,73,29.7,12.4,5,10.7,47,0,0.1,20,2.4,3.1,76.2,2.5,4.8,7.3,2.1,0.9,0.2,1.8,14.8
Jason Terry,DAL,80,30,12.4,4.7,9.3,50.1,1.3,3.1,42,1.8,2.2,84.4,0.5,1.9,2.4,5.4,1.4,0.2,1.8,14.9
Earl Boykins,DEN,82,26.4,12.4,4.1,10,41.3,0.7,2,33.7,3.4,3.7,92.1,0.5,1.3,1.7,4.5,1,0.1,1.5,12.1
Tim Thomas,NYK,71,27.3,12,4.4,10.1,43.9,1.2,2.9,40.9,1.9,2.4,78.6,0.6,2.7,3.3,1.5,0.6,0.2,1.6,9.9
Dwight Howard,ORL,82,32.6,12,4.3,8.3,52,0,0,0,3.4,5,67.1,3.5,6.5,10,0.9,0.9,1.7,2,17.9
Marc Jackson,PHI,81,24.4,12,4.2,9,46.5,0,0,0,3.6,4.3,82.8,2.3,2.7,5,1,0.4,0.2,1.6,11.4
Derek Fisher,GSW,74,30,11.9,4,10.2,39.3,1.5,3.9,37.1,2.4,2.7,86.2,0.5,2.4,2.9,4.1,1,0.1,1.7,11.6
David Wesley,HOU,80,34.7,11.9,4.2,10.5,39.8,1.5,3.9,37.5,2,2.4,85.7,0.5,2.4,2.9,3.3,1.2,0.1,1.4,11.3
Mike James,HOU,74,25.1,11.8,4.5,10.1,44.1,1.4,3.5,38.6,1.5,2,75.2,0.5,2.3,2.8,3.6,0.9,0.1,1.4,11.5
Damon Jones,MIA,82,31.4,11.6,4,8.9,45.6,2.7,6.4,43.2,0.8,1,79.1,0.2,2.6,2.8,4.3,0.5,0.1,1.2,13.1
Ruben Patterson,POR,70,28,11.6,4.6,8.6,53.1,0,0.4,8,2.4,4,59.9,1.8,2.1,3.9,2,1.5,0.3,2,11.6
Kyle Korver,PHI,82,32.5,11.5,3.9,9.3,41.8,2.8,6.8,40.5,1,1.2,85.4,0.5,4.1,4.6,2.2,1.3,0.4,1.3,13.1
Kurt Thomas,NYK,80,35.7,11.5,5.3,11.3,47.1,0,0.1,50,0.8,1.1,78.6,2.1,8.3,10.4,2,0.9,1,1.2,18.3
