PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
James Jones,IND,75,17.7,4.9,1.7,4.2,39.6,0.9,2.2,39.8,0.7,0.8,85.5,0.5,1.8,2.3,0.8,0.4,0.4,0.6,5.6
Jerome James,SEA,80,16.6,4.9,2.2,4.3,50.9,0,0,0,0.6,0.8,72.3,1,2,3,0.2,0.3,1.4,1.1,6.4
Reggie Evans,SEA,79,23.8,4.9,1.7,3.5,47.6,0,0,0,1.6,3,53.4,3.2,6.1,9.3,0.7,0.7,0.2,1.3,11.4
Tony Battie,ORL,81,23.4,4.9,2,4.4,46,0,0.1,0,0.8,1.2,72.3,1.3,4.2,5.6,0.5,0.4,1,1,8.7
Marcus Banks,BOS,81,14.1,4.6,1.4,3.5,40.2,0.3,0.7,35.6,1.5,2,74.2,0.4,1.2,1.6,1.9,0.8,0.2,1,5.4
Steven Hunter,PHX,76,13.8,4.6,1.8,2.9,61.4,0,0,0,1,2.1,47.9,1.3,1.7,3,0.2,0.1,1.3,0.6,6.3
Pat Garrity,ORL,71,13.4,4.6,1.7,4.3,40.2,0.7,2.1,33.3,0.4,0.5,87.9,0.3,1.5,1.7,0.4,0.3,0.1,0.4,4.1
Jerome Williams,NYK,79,15.3,4.5,1.5,3.1,50.2,0,0.1,0,1.5,2.2,66.9,1.5,2.1,3.6,0.5,0.7,0.1,0.8,6.4
Adonal Foyle,GSW,78,21.8,4.5,2,4,50.2,0,0,0,0.5,0.9,55.6,2.1,3.4,5.5,0.7,0.3,2,0.7,10
Bryon Russell,DEN,70,14.6,4.4,1.4,3.6,37.7,0.8,2.1,37.6,0.9,1.1,79.2,0.7,1.7,2.5,1,0.6,0.2,0.5,5.7
Tierre Brown,LAL,76,14,4.4,1.6,4.6,35.6,0.3,0.9,36.1,0.8,1,78.7,0.3,0.9,1.2,2,0.4,0,1,3.9
Lucious Harris,CLE,73,15.4,4.3,1.6,4.1,39.5,0.3,0.9,32.3,0.8,0.9,81.2,0.5,1.1,1.7,0.7,0.4,0.1,0.4,4
Dikembe Mutombo,HOU,80,15.1,4,1.4,2.7,49.8,0,0,0,1.3,1.8,74.1,1.9,3.5,5.3,0.1,0.2,1.3,0.6,8.5
Michael Doleac,MIA,80,14.7,4,1.9,4.1,44.7,0,0,0,0.3,0.5,61,0.9,2.3,3.2,0.6,0.3,0.3,0.5,5.5
Eric Snow,CLE,81,22.7,4,1.5,4,38.2,0.2,0.6,28.9,0.7,1,73.8,0.5,1.5,1.9,3.9,0.8,0.2,1.1,7
Lindsey Hunter,DET,76,15,3.8,1.4,4,35.8,0.3,1.1,27.4,0.6,0.8,79.3,0.5,1.1,1.6,1.7,0.9,0.2,0.9,4.5
Eddie Gill,IND,73,14,3.7,1.1,3.3,33.5,0.5,1.6,30.8,1,1.1,87.7,0.2,1.3,1.5,1.1,0.8,0.1,0.8,4.1
Walter McCarty,PHX,72,12.6,3.6,1.3,3.3,40.4,0.8,2.2,35.5,0.2,0.4,51.7,0.4,1.5,1.9,0.5,0.3,0.2,0.5,4
Alan Henderson,DAL,78,15.4,3.5,1.5,2.8,52.7,0,0,0,0.5,1,53.9,2.1,2.4,4.5,0.3,0.4,0.5,0.6,6.7
Shawn Bradley,DAL,77,11.5,2.7,1.1,2.4,45.2,0,0,0,0.6,0.8,68.3,0.9,1.9,2.8,0.2,0.3,0.8,0.4,4.8
Michael Ruffin,WAS,79,16,1.4,0.5,1.3,41.4,0,0,0,0.4,0.8,43.3,2,2.2,4.2,0.8,0.5,0.5,0.6,5.7
