PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Dwyane Wade,MIA,79,38.6,30.2,10.8,22,49.1,1.1,3.5,31.7,7.5,9.8,76.5,1.1,3.9,5,7.5,2.2,1.3,3.4,29.3
LeBron James,CLE,81,37.7,28.4,9.7,19.9,48.9,1.6,4.7,34.4,7.3,9.4,78,1.3,6.3,7.6,7.2,1.7,1.1,3,30.9
Kobe Bryant,LAL,82,36.1,26.8,9.8,20.9,46.7,1.4,4.1,35.1,5.9,6.9,85.6,1.1,4.1,5.2,4.9,1.5,0.5,2.6,24.2
Dirk Nowitzki,DAL,81,37.7,25.9,9.6,20,47.9,0.8,2.1,35.9,6,6.7,89,1.1,7.3,8.4,2.4,0.8,0.8,1.9,25.1
Danny Granger,IND,67,36.2,25.8,8.5,19.1,44.7,2.7,6.7,40.4,6,6.9,87.8,0.7,4.4,5.1,2.7,1,1.4,2.5,22.3
Kevin Durant,OKC,74,39,25.3,8.9,18.8,47.6,1.3,3.1,42.2,6.1,7.1,86.3,1,5.5,6.5,2.8,1.3,0.7,3,22.7
Chris Paul,NOH,78,38.5,22.8,8.1,16.1,50.3,0.8,2.3,36.4,5.8,6.7,86.8,0.9,4.7,5.5,11,2.8,0.1,3,30.5
Carmelo Anthony,DEN,66,34.5,22.8,8.1,18.3,44.3,1,2.6,37.1,5.6,7.1,79.3,1.6,5.2,6.8,3.4,1.1,0.4,3,19.8
Chris Bosh,TOR,77,38,22.7,8,16.4,48.7,0.2,0.6,24.5,6.5,8,81.7,2.8,7.2,10,2.5,0.9,1,2.3,24.9
Brandon Roy,POR,78,37.2,22.6,8.1,16.9,48,1.1,2.8,37.7,5.3,6.5,82.4,1.3,3.4,4.7,5.1,1.1,0.3,1.9,22
Antawn Jamison,WAS,81,38.2,22.2,8.3,17.8,46.8,1.4,3.9,35.1,4.2,5.6,75.4,2.4,6.5,8.9,1.9,1.2,0.3,1.5,22.1
Tony Parker,SAS,72,34.1,22,8.9,17.5,50.6,0.3,0.9,29.2,3.9,5,78.2,0.4,2.7,3.1,6.9,0.9,0.1,2.6,20.6
Joe Johnson,ATL,79,39.5,21.4,7.8,18,43.7,1.9,5.2,36,3.8,4.6,82.6,0.8,3.6,4.4,5.8,1.1,0.2,2.5,19.4
Devin Harris,NJN,69,36.1,21.3,6.6,15.1,43.8,0.9,3.2,29.1,7.2,8.8,82,0.4,2.9,3.3,6.9,1.7,0.2,3.1,20.3
David West,NOH,76,39.2,21,8,17,47.2,0.1,0.3,24,4.8,5.5,88.4,2.1,6.4,8.5,2.3,0.6,0.9,2.1,21.5
Vince Carter,NJN,80,36.8,20.8,7.4,16.8,43.7,1.9,4.9,38.5,4.2,5.1,81.7,0.9,4.2,5.1,4.7,1,0.5,2.1,19.6
Ben Gordon,CHI,82,36.6,20.7,7.3,16,45.5,2.1,5.1,41,4,4.7,86.4,0.6,2.8,3.5,3.4,0.9,0.3,2.4,16.9
