PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Tracy McGrady,ORL,75,39.4,32.1,11.1,24.2,45.7,2.3,6,38.6,7.7,9.7,79.3,1.6,4.9,6.5,5.5,1.7,0.8,2.6,28.8
Kobe Bryant,LAL,82,41.5,30,10.6,23.5,45.1,1.5,4,38.3,7.3,8.7,84.3,1.3,5.6,6.9,5.9,2.2,0.8,3.5,28
Allen Iverson,PHI,82,42.5,27.6,9.8,23.7,41.4,1,3.7,27.7,7,9,77.4,0.8,3.4,4.2,5.5,2.7,0.2,3.5,20.9
Shaquille O'Neal,LAL,67,37.8,27.5,10.4,18.1,57.4,0,0,0,6.7,10.8,62.2,3.9,7.2,11.1,3.1,0.6,2.4,2.9,29.9
Paul Pierce,BOS,79,39.2,25.9,8.4,20.2,41.6,1.5,4.9,30.2,7.6,9.5,80.2,1.3,6,7.3,4.4,1.8,0.8,3.6,22.9
Dirk Nowitzki,DAL,80,39,25.1,8.6,18.6,46.3,1.9,4.9,37.9,6,6.9,88.1,1,8.9,9.9,3,1.4,1,1.9,27.7
Tim Duncan,SAS,81,39.3,23.3,8.8,17.2,51.3,0.1,0.3,27.3,5.6,7.8,71,3.2,9.7,12.9,3.9,0.7,2.9,3.1,29.9
Chris Webber,SAC,67,39.1,23,9.9,21.4,46.1,0.1,0.3,23.8,3.2,5.3,60.7,2.4,8.1,10.5,5.4,1.6,1.3,3.2,25
Kevin Garnett,MIN,82,40.5,23,9.1,18.1,50.2,0.2,0.9,28.2,4.6,6.1,75.1,3,10.5,13.4,6,1.4,1.6,2.8,32.1
Ray Allen,SEA,76,37.9,22.5,7.9,17.9,43.9,2.6,7,37.7,4.2,4.5,91.6,1.2,3.8,5,4.4,1.4,0.2,2.6,20.4
Allan Houston,NYK,82,37.9,22.5,8,17.9,44.5,2.2,5.5,39.6,4.4,4.8,91.9,0.3,2.5,2.8,2.7,0.7,0.1,2.2,16.3
Stephon Marbury,PHX,81,40,22.3,8.3,18.9,43.9,1.1,3.7,30.1,4.6,5.8,80.3,0.7,2.6,3.2,8.1,1.3,0.2,3.2,20.2
Antawn Jamison,GSW,82,39.3,22.2,8.4,17.9,47,0.8,2.5,31.1,4.6,5.8,78.9,2.4,4.7,7,1.9,0.9,0.5,2.2,19.8
Jalen Rose,CHI,82,40.9,22.1,7.8,19.3,40.6,1.6,4.4,37,4.9,5.7,85.4,0.8,3.5,4.3,4.8,0.9,0.3,3.5,16.6
Jamal Mashburn,NOH,82,40.5,21.6,8.2,19.3,42.2,1.5,3.7,38.9,3.8,4.5,84.8,0.8,5.3,6.1,5.6,1,0.2,2.8,19.9
Jerry Stackhouse,WAS,70,39.2,21.5,7,17.2,40.9,1,3.5,29,6.5,7.4,87.8,0.9,2.8,3.7,4.5,0.9,0.4,2.8,17.3
Shawn Marion,PHX,81,41.6,21.2,8.2,18.1,45.2,1.7,4.5,38.7,3.1,3.6,85.1,2.5,7.1,9.5,2.4,2.3,1.2,1.9,24.2
Steve Francis,HOU,81,41,21,7,16.2,43.5,1,3,35.4,5.9,7.3,80,2,4.2,6.2,6.2,1.7,0.5,3.7,21.3
Glenn Robinson,ATL,69,37.6,20.8,7.8,18.1,43.2,1.3,3.8,34.2,3.9,4.4,87.6,1.2,5.4,6.6,3,1.3,0.4,3.6,17.7
Jermaine O'Neal,IND,77,37.2,20.8,7.9,16.4,48.4,0.1,0.3,33.3,4.8,6.6,73.1,2.6,7.7,10.3,2,0.9,2.3,2.3,23.7
