PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Tracy McGrady,ORL,67,39.9,28,9.7,23.4,41.7,2.6,7.7,33.9,5.9,7.5,79.6,1.4,4.6,6,5.5,1.4,0.6,2.7,23.7
Peja Stojakovic,SAC,81,40.3,24.2,8.2,17.1,48,3,6.8,43.3,4.9,5.2,92.7,1.1,5.1,6.3,2.1,1.3,0.2,1.9,23
Kevin Garnett,MIN,82,39.4,24.2,9.8,19.6,49.9,0.1,0.5,25.6,4.5,5.7,79.1,3,10.9,13.9,5,1.5,2.2,2.6,33.1
Kobe Bryant,LAL,65,37.7,24,7.9,18.1,43.8,1.1,3.3,32.7,7,8.2,85.2,1.6,3.9,5.5,5.1,1.7,0.4,2.6,22.7
Paul Pierce,BOS,80,38.8,23,7.5,18.7,40.2,1.4,4.8,29.9,6.5,7.9,81.9,0.9,5.7,6.5,5.1,1.6,0.7,3.8,20.5
Baron Davis,NOH,67,40.1,22.9,8.3,20.9,39.5,2.8,8.7,32.1,3.5,5.3,67.3,1,3.3,4.3,7.5,2.4,0.4,3.2,19.8
Vince Carter,TOR,73,38.2,22.5,8.3,20,41.7,1.3,3.3,38.3,4.6,5.7,80.6,1.3,3.5,4.8,4.8,1.2,0.9,3.1,18.4
Tim Duncan,SAS,69,36.6,22.3,8.6,17.1,50.1,0,0.2,16.7,5.1,8.5,59.9,3.3,9.2,12.4,3.1,0.9,2.7,2.7,26.8
Dirk Nowitzki,DAL,77,37.8,21.8,7.9,17,46.2,1.3,3.8,34.1,4.8,5.5,87.7,1.2,7.5,8.7,2.7,1.2,1.4,1.8,24.2
Michael Redd,MIL,82,36.8,21.7,7.7,17.5,44,1.5,4.4,35,4.7,5.4,86.8,1.4,3.5,5,2.3,1,0.1,1.4,18
Shaquille O'Neal,LAL,67,36.8,21.5,8.3,14.1,58.4,0,0,0,4.9,10.1,49,3.7,7.8,11.5,2.9,0.5,2.5,2.9,24.9
Carmelo Anthony,DEN,82,36.5,21,7.6,17.9,42.6,0.8,2.6,32.2,5,6.4,77.7,2.2,3.8,6.1,2.8,1.2,0.5,3,16.9
LeBron James,CLE,79,39.5,20.9,7.9,18.9,41.7,0.8,2.7,29,4.4,5.8,75.4,1.3,4.2,5.5,5.9,1.6,0.7,3.5,18.8
Corey Maggette,LAC,73,36,20.7,6.2,13.9,44.7,1,3.2,32.9,7.2,8.5,84.8,1.3,4.6,5.9,3.1,0.9,0.2,2.8,18.9
Stephon Marbury,NYK,81,40.2,20.2,7.4,17.1,43.1,1.1,3.4,31.8,4.4,5.4,81.7,0.7,2.5,3.2,8.9,1.6,0.1,3.1,20.3
Jermaine O'Neal,IND,78,35.8,20.1,7.8,17.9,43.4,0,0.2,11.1,4.5,5.9,75.7,2.5,7.5,10,2.1,0.8,2.6,2.3,21.6
Zach Randolph,POR,81,37.9,20.1,8.2,16.9,48.5,0,0.1,20,3.7,4.9,76.1,3,7.5,10.5,2,0.8,0.5,3,21
Sam Cassell,MIN,81,35,19.8,7.7,15.7,48.8,0.9,2.3,39.8,3.6,4.1,87.3,0.5,2.8,3.3,7.3,1.3,0.2,2.7,20.7
Shawn Marion,PHX,79,40.7,19,7.5,17,44,1.1,3.4,34,2.9,3.4,85.1,2.7,6.6,9.3,2.7,2.1,1.3,2,22.4
Jason Richardson,GSW,78,37.7,18.7,7.2,16.5,43.8,1,3.5,28.2,3.3,4.8,68.4,1.6,5.1,6.7,2.9,1.1,0.5,2.5,16.7
Michael Finley,DAL,72,38.6,18.6,7.1,16.1,44.3,2.1,5.1,40.5,2.3,2.7,85,1.1,3.4,4.5,2.9,1.2,0.5,1.2,17.3
Richard Jefferson,NJN,82,38.2,18.5,6.8,13.6,49.8,0.6,1.6,36.4,4.4,5.7,76.3,1.3,4.3,5.7,3.8,1.1,0.3,2.4,18.8
Mike Bibby,SAC,82,36.3,18.4,6.4,14.3,45,1.8,4.6,39.2,3.7,4.5,81.5,0.8,2.6,3.4,5.4,1.4,0.2,2.1,17.9
Metta World Peace,IND,73,37.2,18.3,6.4,15.2,42.1,1,3.3,31,4.4,6,73.3,1.4,3.9,5.3,3.7,2.1,0.7,2.8,16.8
Stephen Jackson,ATL,80,36.8,18.1,6.7,15.8,42.5,1.8,5.3,34,2.9,3.7,78.5,1.2,3.4,4.6,3.1,1.8,0.3,2.8,15.2
Rashard Lewis,SEA,80,36.7,17.8,6.7,15.4,43.5,1.8,4.8,37.6,2.6,3.4,76.3,1.7,4.8,6.5,2.2,1.2,0.7,1.7,17.2
Pau Gasol,MEM,78,31.5,17.7,6.5,13.4,48.2,0.1,0.2,26.7,4.7,6.6,71.4,2.6,5.1,7.7,2.5,0.6,1.7,2.4,19
Richard Hamilton,DET,78,35.6,17.6,6.8,14.9,45.5,0.2,0.9,26.5,3.8,4.4,86.8,1,2.6,3.6,4,1.3,0.2,2.7,15.3
Yao Ming,HOU,82,32.8,17.5,6.5,12.5,52.2,0,0,0,4.4,5.4,80.9,2.4,6.6,9,1.5,0.3,1.9,2.5,20.6
Eddie Jones,MIA,81,37,17.3,5.8,14.3,40.9,2.2,5.9,37,3.4,4.1,83.5,0.5,3.3,3.8,3.2,1.1,0.4,1.6,15.1
Jamal Crawford,CHI,80,35.1,17.3,6.4,16.5,38.6,2.1,6.5,31.7,2.5,3,83.3,0.6,3,3.5,5.1,1.4,0.4,2.4,14.6
Lamar Odom,MIA,80,37.5,17.1,6.1,14.1,43,0.8,2.6,29.8,4.3,5.7,74.2,2,7.7,9.7,4.1,1.1,0.9,3,20.4
Juwan Howard,ORL,81,35.5,17,6.5,14.4,45.3,0,0,0,3.9,4.9,80.9,2.1,4.9,7,2,0.7,0.3,2.2,15.9
