PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Rashard Lewis,SEA,71,36.4,16.8,6.4,13.7,46.8,1.7,4.5,38.9,2.3,2.8,81,2,5.1,7,1.7,1.5,0.6,1.4,18.4
Lamond Murray,CLE,71,32.5,16.6,6.1,13.9,43.6,1.4,3.4,42.4,3,3.7,81.7,1.1,4.1,5.2,2.2,1,0.6,2,15.1
Reggie Miller,IND,79,36.6,16.5,5.2,11.6,45.3,2.3,5.6,40.6,3.7,4.1,91.1,0.3,2.5,2.8,3.2,1.1,0.1,1.5,15.5
Andre Miller,CLE,81,37.3,16.5,5.9,12.9,45.4,0.3,1.1,25.3,4.5,5.5,81.7,1.3,3.3,4.7,10.9,1.6,0.4,3,22.9
Alonzo Mourning,MIA,75,32.7,15.7,6,11.5,51.6,0,0,33.3,3.8,5.7,65.7,2.4,6,8.4,1.2,0.4,2.5,2.4,18.1
Wesley Person,CLE,78,35.8,15.1,6,12.1,49.5,1.8,4.1,44.4,1.3,1.6,79.8,0.6,3.1,3.8,2.2,1,0.5,0.9,15.1
Kenyon Martin,NJN,73,34.3,14.9,6.1,13.2,46.3,0.2,0.9,22.4,2.5,3.7,67.8,1.5,3.8,5.3,2.6,1.2,1.7,2.4,15.1
Keith Van Horn,NJN,81,30.4,14.8,5.8,13.4,43.3,1.2,3.6,34.5,1.9,2.4,80,1.7,5.8,7.5,2,0.8,0.5,1.8,15.7
Jason Kidd,NJN,82,37.3,14.7,5.4,13.9,39.1,1.4,4.4,32.1,2.5,3,81.4,1.6,5.7,7.3,9.9,2.1,0.2,3.5,21.7
Juwan Howard,DEN,81,32.5,14.6,5.7,12.4,46,0,0,0,3.2,4.2,76.1,2.8,4.8,7.6,2.1,0.6,0.6,1.9,15.8
Jeff McInnis,LAC,81,37.4,14.6,5.7,13.8,41.3,0.9,2.9,32.1,2.3,2.7,83.6,0.6,2.1,2.6,6.2,0.8,0.1,1.8,13.9
Clifford Robinson,DET,80,35.7,14.6,5.7,13.4,42.5,1.4,3.8,37.8,1.8,2.6,69.4,1,3.8,4.8,2.5,1.1,1.2,1.9,13.9
Antonio Davis,TOR,77,38.7,14.5,5.3,12.5,42.6,0,0,0,3.8,4.6,81.8,3.3,6.3,9.6,2,0.7,1.1,2.1,17.8
Shane Battier,MEM,78,39.7,14.4,5.3,12.3,42.9,1.3,3.5,37.3,2.5,3.6,70,2.3,3.1,5.4,2.8,1.6,1,2,15
Jason Richardson,GSW,80,32.9,14.4,5.8,13.6,42.6,1,3.1,33.3,1.8,2.6,67.1,1.6,2.7,4.3,3,1.3,0.4,2,12.6
Brent Barry,SEA,81,37.5,14.4,5,9.8,50.8,2,4.8,42.4,2.4,2.9,84.6,0.7,4.7,5.4,5.3,1.8,0.5,2,20.1
Kenny Thomas,HOU,72,34.5,14.1,5.5,11.5,47.8,0,0.2,0,3.1,4.7,66.4,2.2,5,7.2,1.9,1.2,0.9,2,15.7
Elden Campbell,CHH,77,28,13.9,5,10.3,48.4,0,0,0,4,5,79.7,1.7,5.2,6.9,1.3,0.8,1.8,1.8,16.6
Kurt Thomas,NYK,82,33.8,13.9,5.6,11.4,49.4,0,0.1,16.7,2.6,3.2,81.5,2.6,6.5,9.1,1.1,0.9,1,1.9,17.7
Mike Bibby,SAC,80,33.2,13.7,5.6,12.3,45.3,0.6,1.7,37,1.9,2.4,80.3,0.5,2.3,2.8,5,1.1,0.2,1.7,13.9
Corliss Williamson,DET,78,21.9,13.6,5.3,10.3,51,0,0.1,20,3.1,3.8,80.5,1.5,2.6,4.1,1.2,0.6,0.3,1.8,12.3
Brad Miller,IND,76,29.8,13.6,4.8,9.6,49.9,0,0.1,42.9,3.9,5,77.5,3.3,4.9,8.2,2,1,0.5,1.5,17.8
Damon Stoudamire,POR,75,37.2,13.5,4.9,12.2,40.2,1.4,3.9,35.3,2.3,2.6,88.8,1,2.9,3.9,6.5,0.9,0.1,2,15.4
Raef LaFrentz,DAL,78,31.5,13.5,5.4,11.8,45.8,1.3,3.4,38.8,1.3,1.9,69.5,2.3,5.2,7.4,1.1,0.7,2.7,1.2,17.3
John Stockton,UTA,82,31.3,13.4,4.9,9.5,51.7,0.3,1,32.1,3.4,3.9,85.7,0.7,2.5,3.2,8.2,1.9,0.3,2.5,19.4
Kerry Kittles,NJN,82,31.7,13.4,5.3,11.5,46.6,1.2,3,40.5,1.6,2.1,74.4,0.8,2.5,3.4,2.6,1.6,0.4,1.3,13.4
Quentin Richardson,LAC,81,26.6,13.3,4.9,11.4,43.2,1.6,4.3,38.1,1.8,2.3,76.5,1.4,2.7,4.1,1.6,1,0.3,1.3,11.9
Chauncey Billups,MIN,82,28.7,12.5,4.2,10,42.3,1.5,3.8,39.4,2.5,2.9,88.5,0.4,2.3,2.8,5.5,0.8,0.2,1.7,14
Desmond Mason,SEA,75,32.2,12.4,4.8,10.3,46.4,0.2,0.8,27.1,2.7,3.2,84.8,1.2,3.5,4.7,1.4,0.9,0.4,1.4,12.4
Darrell Armstrong,ORL,82,33.3,12.4,4.2,10.1,41.9,1.7,4.9,34.9,2.2,2.5,88.8,1,2.9,3.9,5.5,1.9,0.1,2.1,15.5
Marcus Fizer,CHI,76,25.9,12.3,4.9,11.2,43.8,0.1,0.5,17.1,2.5,3.7,66.8,1.7,3.9,5.6,1.6,0.6,0.3,1.7,11.3
Larry Hughes,GSW,73,28,12.3,4.7,11.1,42.3,0.2,1.3,19.4,2.6,3.5,73.7,1.1,2.2,3.4,4.3,1.5,0.3,2.3,12.1
David Robinson,SAS,78,29.6,12.2,4.4,8.6,50.7,0,0,0,3.4,5.1,68.1,2.4,5.8,8.3,1.2,1.1,1.8,1.3,17.4
Chucky Atkins,DET,79,28.9,12.1,4.7,10,46.6,1.7,4.3,41.1,1.1,1.5,69.2,0.4,1.6,2,3.3,0.9,0.1,1.6,11.1
Doug Christie,SAC,81,34.5,12,4.2,9.1,46,1.1,3.2,35.2,2.5,3,85.1,0.9,3.7,4.6,4.2,2,0.3,2,15.7
Anfernee Hardaway,PHX,80,30.8,12,4.9,11.6,41.8,0.3,1,27.7,2,2.4,81,1.2,3.2,4.4,4.1,1.5,0.4,2.4,12.7
Rodney Rogers,BOS,77,24.4,11.9,4.6,9.8,47.1,1.1,3.1,37.4,1.5,1.9,78.5,1.7,2.8,4.5,1.5,0.9,0.4,1.4,12.1
Alvin Williams,TOR,82,35.7,11.8,4.9,11.8,41.5,0.8,2.4,32.1,1.3,1.7,73.6,0.7,2.7,3.4,5.7,1.6,0.3,1.8,13.7
Matt Harpring,PHI,81,31.4,11.8,4.8,10.3,46.1,0.3,0.9,30.4,2,2.7,74.3,2.5,4.6,7.1,1.3,0.9,0.1,1.6,13.3
Tim Thomas,MIL,74,26.9,11.7,4.3,10.2,42,1.3,3.9,32.6,1.9,2.4,79.3,0.9,3.2,4.1,1.4,0.9,0.4,1.7,10.4
Troy Hudson,ORL,81,22.9,11.7,4.4,10.1,43.4,0.8,2.3,35.3,2.2,2.5,87.6,0.4,1.4,1.8,3.1,0.7,0.1,2,9.4
Ricky Davis,CLE,82,23.8,11.7,4.6,9.5,48.1,0.1,0.4,31.4,2.4,3,79,0.8,2.2,3,2.2,0.8,0.3,1.8,10.6
Steven Smith,SAS,77,28.7,11.6,4,8.9,45.5,1.5,3.2,47.2,2.1,2.4,87.8,0.6,1.9,2.5,2,0.7,0.2,1.4,10.5
Dikembe Mutombo,PHI,80,36.3,11.5,4,8,50.1,0,0,0,3.5,4.6,76.4,3.2,7.6,10.8,1,0.4,2.4,2,19
